DATE	TIME	BID	ASK	LAST	VOLUME	FLAGS
2022-06-17	18:45:36			61946	1	88
2022-06-17	18:45:36		61949			4
2022-06-17	18:45:36		61953			4
2022-06-17	18:45:36			61949	1	56
2022-06-17	18:45:36			61950	3	56
2022-06-17	18:45:36			61951	1	56
2022-06-17	18:45:37		61954			4
2022-06-17	18:45:37	61947	61952			6
2022-06-17	18:45:37			61953	2	56
2022-06-17	18:45:37			61954	1	56
2022-06-17	18:45:37			61947	2	88
2022-06-17	18:45:37			61947	1	88
2022-06-17	18:45:37			61946	2	88
2022-06-17	18:45:37			61946	30	88
2022-06-17	18:45:37			61946	1	88
2022-06-17	18:45:37			61946	1	88
2022-06-17	18:45:37			61946	2	88
2022-06-17	18:45:37			61945	4	88
2022-06-17	18:45:37			61945	2	88
2022-06-17	18:45:37			61944	159	88
2022-06-17	18:45:37	61944	61953			6
2022-06-17	18:45:37	61947				2
2022-06-17	18:45:37		61952			4
2022-06-17	18:45:37		61951			4
2022-06-17	18:45:37	61944				2
2022-06-17	18:45:37			61947	3	88
2022-06-17	18:45:37			61944	3	88
2022-06-17	18:45:38			61951	1	56
2022-06-17	18:45:38		61952			4
2022-06-17	18:45:38			61951	1	56
2022-06-17	18:45:38			61952	1	56
2022-06-17	18:45:38		61950			4
2022-06-17	18:45:38	61946				2
2022-06-17	18:45:38		61949			4
2022-06-17	18:45:38			61949	1	56
2022-06-17	18:45:38		61954			4
2022-06-17	18:45:38			61949	2	56
2022-06-17	18:45:38			61950	4	56
2022-06-17	18:45:38			61950	2	56
2022-06-17	18:45:38			61951	2	56
2022-06-17	18:45:38			61952	2	56
2022-06-17	18:45:38			61953	2	56
2022-06-17	18:45:38			61953	2	56
2022-06-17	18:45:38			61953	2	56
2022-06-17	18:45:38			61953	5	56
2022-06-17	18:45:38			61954	1	56
2022-06-17	18:45:38			61954	1	56
2022-06-17	18:45:38	61947				2
2022-06-17	18:45:39	61948				2
2022-06-17	18:45:39	61947				2
2022-06-17	18:45:39			61948	3	88
2022-06-17	18:45:39	61946	61947			6
2022-06-17	18:45:39			61947	2	88
2022-06-17	18:45:39			61947	2	56
2022-06-17	18:45:39			61947	1	56
2022-06-17	18:45:39	61947	61953			6
2022-06-17	18:45:39	61945				2
2022-06-17	18:45:39			61947	1	88
2022-06-17	18:45:39			61946	2	88
2022-06-17	18:45:39			61946	1	88
2022-06-17	18:45:40		61948			4
2022-06-17	18:45:40			61948	2	56
2022-06-17	18:45:40			61948	1	56
2022-06-17	18:45:40		61950			4
2022-06-17	18:45:40			61948	1	56
2022-06-17	18:45:40			61950	2	56
2022-06-17	18:45:40	61946				2
2022-06-17	18:45:41			61950	1	56
2022-06-17	18:45:41			61950	2	56
2022-06-17	18:45:41			61951	1	56
2022-06-17	18:45:41			61951	1	56
2022-06-17	18:45:41			61952	2	56
2022-06-17	18:45:41			61953	1	56
2022-06-17	18:45:41	61952	61954			6
2022-06-17	18:45:41		61953			4
2022-06-17	18:45:42			61952	2	88
2022-06-17	18:45:42	61951				2
2022-06-17	18:45:42			61952	1	88
2022-06-17	18:45:42			61953	2	56
2022-06-17	18:45:42			61953	3	56
2022-06-17	18:45:42			61954	1	56
2022-06-17	18:45:42			61954	2	56
2022-06-17	18:45:42		61954			4
2022-06-17	18:45:42			61954	10	56
2022-06-17	18:45:42			61951	3	88
2022-06-17	18:45:42	61950				2
2022-06-17	18:45:43	61951				2
2022-06-17	18:45:43	61952				2
2022-06-17	18:45:43	61953				2
2022-06-17	18:45:43	61952				2
2022-06-17	18:45:43	61955	61956			6
2022-06-17	18:45:43			61954	18	56
2022-06-17	18:45:43		61958			4
2022-06-17	18:45:43			61956	1	56
2022-06-17	18:45:43			61958	1	56
2022-06-17	18:45:44			61955	1	88
